"demand","coef","Estimate","StdError","Zvalue","Pvalue","model","endogenous","FE","name","disag","level"
"gamma","(Intercept)",0.00000000000000229249526121818,0.0364377548968595,0,1,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"gamma","tilda_rate",-0.127227053836118,0.0889513169502181,-1.43029983,0.15263,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"gamma","tilda_county_acreage",0.1402479166328,0.0415718397668298,3.37362786,0.00074,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"gamma","tilda_price",0.381854199535323,0.491179375258925,0.77742311,0.43691,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"gamma","tilda_rent",-0.111000018567661,0.962919473921205,-0.11527446,0.90823,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"theta","(Intercept)",-0.000000000000000567351731755172,0.00163661205980478,0,1,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"theta","tilda_rate",-0.0272249125178773,0.0126255319610502,-2.15633786,0.03106,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"theta","tilda_county_acreage",-0.000914926966908191,0.0016105935061973,-0.56806821,0.56999,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"theta","tilda_price",-0.00321578907707484,0.0248419461265772,-0.12944997,0.897,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"theta","tilda_rent",-0.00396895607044546,0.113866780284133,-0.03485614,0.97219,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"total","tilda_rate",-0.1509882209434,0.0920741554424947,-1.63985453,0.10104,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"total","tilda_county_acreage",0.139204673064912,0.0423629626083128,3.28599948,0.00102,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"total","tilda_price",0.377410447894347,0.51557893476642,0.73201293,0.46416,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"total","tilda_rent",-0.114528420440593,1.05430411667161,-0.1086294,0.9135,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"","N",793159,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"","NFE",134005,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"","residCov_11",3.95984879465249,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"","residCov_22",0.0156917241042341,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"","residCov_12",0.0510604378651992,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"","JTest",0,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
"","FTest",929.047135591454,NA,NA,0,"demo_sys","rate",TRUE,"demo_sys","full_sample","1"
