"disag","level","gamma_elasticity","theta_elasticity","total_elasticity"
"CROP","POTATOES",-0.407579554429804,-0.0244950483001589,-0.422090921858048
"CROP","PECAN",-0.616300301079645,-0.0573270429552994,-0.638296670201587
"CROP","CORN",-0.0796431125351444,-0.0874489362668691,-0.160127343329833
"CROP","COTTON",-0.0796431085015558,-0.0347097674563515,-0.111588482182317
"CROP","SOYBEANS",-0.0610832720368713,-0.104783050724484,-0.159465831169098
"CROP","SORGHUM",-0.0796431129866885,-0.0509781375661507,-0.126561192982807
"CROP","PEANUTS",-0.0354625378202488,-0.0104762897852866,-0.0455673117828087
"CROP","WHEAT",-0.0796431181732063,-0.0767990174325,-0.150325622384744
"CROP","OATS",-0.0796431401556073,-0.0581081942594159,-0.133123415355431
"CROP","PEACHES",-0.486794657094961,0,-0.475536601788327
"CROP","CUCUMBERS",-0.265366207964387,-0.0833535530459825,-0.326600544718199
"CROP","SESAME",-0.0796431173359951,-0.00909838043182982,-0.0880168743875251
"CROP","DRY BEANS",-0.0796431110337632,-0.0407548781458547,-0.11715214389428
"CROP","BARLEY",-0.0824388982871307,-0.0230539934755651,-0.103592345939452
"CROP","RICE",-0.0796431106997243,0,-0.0717913245648882
"CROP","SUGAR BEETS",-0.0796431331911645,0,-0.00127308187149103
"CROP","ALMONDS",-0.079643123536196,-0.0953709237233037,-0.167418408999643
"CROP","WALNUTS",-0.0821467227778845,0,-0.0717020954357521
"CROP","GRAPES",-0.0796431155423275,-0.0242153076544398,-0.101929840651352
"CROP","SAFFLOWER",-0.0796431059734437,-0.0262486077803042,-0.103801193102646
"CROP","ALFALFA SEED",-0.0796431056000278,0,-0.0786611430092519
"CROP","CHERRIES",-0.272264159515037,-0.0461921821634562,-0.305879866025594
"CROP","NECTARINE",-0.0796431129469323,-0.00781422770138774,-0.0868349912289054
"CROP","PLUM",-0.079643096158214,0,-0.0239939134342658
"CROP","ONIONS",-0.0796431182676567,0,-0.0690841935621505
"CROP","PEARS",-0.0796430040668376,0,-0.0689986978230066
"CROP","BLUEBERRIES",-0.141259727255107,0,-0.135775302748278
"CROP","OLIVES",-1.57261674191234,0,-1.57626663105755
"CROP","TOMATOES",-0.577135813732218,-0.0421633752899558,-0.594965195114508
"CROP","MILLET",-0.0796431130587273,-0.058955894786548,-0.133903576851312
"CROP","APPLE",-0.620785479996831,0,-0.614436957362722
"CROP","SUNFLOWERS",-0.137557298957562,-0.0237501141453547,-0.158040411551148
"CROP","DRY PEAS",-0.0796431112651762,-0.130113786936111,-0.199394231391201
"CROP","SUGARCANE",-0.0859313638034828,-0.00151637424262111,-0.087317433939399
"CROP","TOBACCO",-0.0796431196029535,-0.00142874943734265,-0.0809580789779752
"CROP","CABBAGE",-0.0796431097803203,0,-0.0417970680623617
"CROP","CANOLA",-0.0796431112826426,-0.086205133842405,-0.158982600057302
"CROP","MUSTARD",-0.079643134486953,-0.0480227137229422,-0.12384116876243
"CROP","FLAX",-0.390495729311335,-0.0328047544811334,-0.410490367266478
"CROP","RYE",-0.0796430185889153,-0.0438807393967496,-0.120028963442194
